commit id,author,date,title,changed files,lines added,lines deleted,filenames
82d922b99,holly1238,2021-03-03,Tutorial left nav updates (#1377),1,12,13,index.rst  
9d46360b5,cccclai,2021-03-01,[Lite Interpreter] Add lite interpreter workflow in Android and iOS - master branch (#1378),1,221,,prototype_source/lite_interpreter.rst  
8d0b5cc8d,Randall Hunt,2021-02-26,Update CUDA version to 10.2 (#1373),4,25,27,.circleci/config.yml .devcontainer/Dockerfile .devcontainer/devcontainer.json build.sh  
960192c2c,Brandon Green,2021-02-26,Add array to control which section gets collapsed (#1372),1,5,,_templates/layout.html  
ef58ce15e,mrshenli,2021-02-26,Add ZeroRedundancyOptimizer Recipe (#1375),2,165,1,recipes_source/recipes_index.rst recipes_source/zero_redundancy_optimizer.rst  
587700609,holly1238,2021-02-26,Added TorchScript label (#1376),1,3,3,index.rst  
a6ae79a6d,gunandrose4u,2021-02-22,Update ddp tutorial to tell user that TcpStore has been enabled on Windows platform (#1321),1,15,19,intermediate_source/ddp_tutorial.rst  
f0e867305,Chester Liu,2021-02-20,Update bulid_for_windows.sh to use requirements.txt (#1336),1,4,4,.circleci/scripts/build_for_windows.sh  
9bf1bc71a,Mithun Paul,2021-02-17,fixed typo (#1308),1,1,1,recipes_source/recipes/zeroing_out_gradients.py  
2d8227c65,Randall Hunt,2021-02-17,fix Pillow requirement in .devcontainer (#1361),1,2,4,.devcontainer/requirements.txt  
29e7620aa,Pat Mellon,2021-02-16,Update analytics to capture star ratings (#1358),1,8,15,_templates/layout.html  
2337ff52c,Randall Hunt,2021-02-16,bump pillow version to 8.1.0 (#1353),2,2,6,.jenkins/build.sh requirements.txt  
9b6839705,suraj813,2021-02-10,Rename tensor_tutorial.py to tensorqs_tutorial.py,1,0,0,beginner_source/basics/tensorqs_tutorial.py  
d835c5319,suraj813,2021-02-10,Rename autograd_tutorial.py to autogradqs_tutorial.py,1,0,0,beginner_source/basics/autogradqs_tutorial.py  
9f02a40ca,Seth Juarez,2021-02-09,PyTorch Learn the Basics (#1230),23,1684,1,.devcontainer/Dockerfile .devcontainer/devcontainer.json .devcontainer/requirements.txt .gitignore _static/img/basics/comp-graph.png _static/img/basics/fashion_mnist.png _static/img/basics/optimizationloops.png _static/img/basics/typesdata.png _static/img/quickstart/comp-graph.png _static/img/quickstart/fashion_mnist.png _static/img/quickstart/optimizationloops.png _static/img/quickstart/typesdata.png beginner_source/basics/README.txt beginner_source/basics/autograd_tutorial.py beginner_source/basics/buildmodel_tutorial.py beginner_source/basics/data_tutorial.py beginner_source/basics/intro.py beginner_source/basics/optimization_tutorial.py beginner_source/basics/qs_toc.txt beginner_source/basics/quickstart_tutorial.py beginner_source/basics/saveloadrun_tutorial.py beginner_source/basics/tensor_tutorial.py beginner_source/basics/transforms_tutorial.py  
347ce5c91,Randall Hunt,2021-02-09,set locale in buildscript to avoid spacy errors in python 3.6 (#1344),1,4,,.jenkins/build.sh  
a42fb20c8,Simon Weiß,2021-02-08,Fix multiple typos in beginner tutorial: nn_tutorial.py (#805),1,4,4,beginner_source/nn_tutorial.py  
77d01d464,Jerry Zhang,2021-02-08,Add FX Graph Mode ptq static quant tutorial (#1341),2,442,1,prototype_source/README.txt prototype_source/fx_graph_mode_ptq_static.rst  
a88183552,mrshenli,2021-02-05,Removing wrong numbers (#1346),1,22,,intermediate_source/dist_pipeline_parallel_tutorial.rst  
7eb911421,Jeff Tang,2021-02-05,added 2 mobile cards for ios and android tutorials (#1340),1,26,,index.rst  
32970a34a,Ailing,2021-02-05,Fix typo in link. (#1339),1,1,1,advanced_source/extend_dispatcher.rst  
ec7da9821,Brian Johnson,2021-02-05,Brianjo torchtext fix (#1345),2,2,2,beginner_source/torchtext_translation.py index.rst  
1f9c7c46c,ilia-cher,2021-02-04,Update profiler docs (#1337),2,8,,beginner_source/profiler.py recipes_source/recipes/profiler_recipe.py  
0b3acfba5,Brandon Green,2021-02-03,GA updates (#1226),1,5,4,_templates/layout.html  
a6c4fd872,suraj813,2021-02-02,Removes tutorial that uses faces data (#1330),2,490,,recipes_source/recipes/custom_dataset_transforms_loader.py recipes_source/recipes_index.rst  
2a26aaf6a,Ailing,2021-02-01,Add tutorial for extending dispatcher for new backend. (#1314),3,397,5,advanced_source/dispatcher.rst advanced_source/extend_dispatcher.rst index.rst  
9a38f3d41,Brian Johnson,2021-01-29,Rename profiler.py to profiler_recipe.py (#1326),3,3,3,beginner_source/profiler.py recipes_source/recipes/profiler_recipe.py recipes_source/recipes_index.rst  
203099a02,Rohan Varma,2021-01-28,Adding more detail to profiling recipe (#1320),3,138,19,_static/img/8_workers.png _static/img/oneworker.png recipes_source/distributed_rpc_profiling.rst  
7045082ff,Brian Johnson,2021-01-28,Update Makefile (#1325),3,912,,Makefile prototype_source/fx_graph_mode_ptq_static.py prototype_source/graph_mode_static_quantization_tutorial.py  
46de0698a,Brian Johnson,2021-01-28,Brianjo update (#1322),2,693,,advanced_source/static_quantization_tutorial.py index.rst  
6ce4bb072,Jerry Zhang,2021-01-26,[quant] Guide on using FX Graph Mode Quantization and symbolic trace (#1312),2,348,4,prototype_source/README.txt prototype_source/fx_graph_mode_quant_guide.py  
c5794c9b9,Yi Zhang,2021-01-19,remove deadlink (#1309),1,2,,beginner_source/dist_overview.rst  
e72255a40,SplitInfinity,2021-01-19,[TorchScript] Fix archive file extension in tutorials (#1310),1,2,2,beginner_source/Intro_to_TorchScript_tutorial.py  
c5fe766c7,Jerry Zhang,2021-01-05,Add FX Graph Mode Post Training Dynamic Quantization Tutorial (#1283),2,297,1,prototype_source/README.txt prototype_source/fx_graph_mode_ptq_dynamic.py  
b3dd09e4d,suraj813,2020-12-30,Update tensors and autograd (#1185),4,460,326,_static/img/dag_autograd.png beginner_source/blitz/autograd_tutorial.py beginner_source/blitz/tensor_tutorial.py beginner_source/deep_learning_60min_blitz.rst  
5ea0ff64d,suraj813,2020-12-30,Update profiler tutorial to prevent build (#1299),2,2,2,beginner_source/profiler.py index.rst  
5edc9f4b3,Bilal Alsallakh,2020-12-29,Remove trailing comma (#1271),1,2,2,recipes_source/recipes/Captum_Recipe.py  
f2ac2534e,suraj813,2020-12-28,Profiler tutorial (#1249),2,324,,beginner_source/profiler_tutorial_.py index.rst  
9a86d97cc,suraj813,2020-12-18,fix formatting issues and title (#1285),2,8,8,index.rst intermediate_source/mario_rl_tutorial.py  
f36e7a598,suraj813,2020-12-17,RL tutorial for playing Mario (#1281),6,799,2,.circleci/scripts/build_for_windows.sh _static/img/mario.gif _static/img/mario_env.png index.rst intermediate_source/mario_rl_tutorial.py requirements.txt  
0e7d61073,Jerry Zhang,2020-12-16,Add fx graph mode ptq static tutorial (#1274),2,451,,prototype_source/README.txt prototype_source/fx_graph_mode_ptq_static.py  
669717ebb,Brian Johnson,2020-12-10,Update test for 1.7.1 (#1276),,,,
9e6f2c4f8,jecarr,2020-12-09,Added comments to LSTM Sequence Models tutorial (#1266),1,10,5,beginner_source/nlp/sequence_models_tutorial.py  
5b42d6cec,Stas Bekman,2020-12-05,typo (#1268),1,1,1,intermediate_source/dist_tuto.rst  
ce58d5904,Gao Xiang,2020-12-03,Replace Learning PyTorch with Examples with fitting sine function with a third order polynomial (#1265),13,416,465,beginner_source/examples_autograd/polynomial_autograd.py beginner_source/examples_autograd/polynomial_custom_function.py beginner_source/examples_autograd/tf_two_layer_net.py beginner_source/examples_autograd/two_layer_net_autograd.py beginner_source/examples_autograd/two_layer_net_custom_function.py beginner_source/examples_nn/dynamic_net.py beginner_source/examples_nn/polynomial_module.py beginner_source/examples_nn/polynomial_nn.py beginner_source/examples_nn/polynomial_optim.py beginner_source/examples_tensor/polynomial_numpy.py beginner_source/examples_tensor/polynomial_tensor.py beginner_source/examples_tensor/two_layer_net_numpy.py beginner_source/pytorch_with_examples.rst  
133e5b6a8,Guanheng George Zhang,2020-12-03,Remove legacy torchtext code from translation tutorial (#1250),1,91,93,beginner_source/torchtext_translation_tutorial.py  
3128e1310,Guanheng George Zhang,2020-12-03,Remove legacy torchtext code from Transformer tutorial (#1251),1,26,15,beginner_source/transformer_tutorial.py  
8777ee2f6,Heitor Schueroff,2020-12-02,[WIP] Benchmark Recipe (#1176),3,901,1,recipes_source/recipes/benchmark.py recipes_source/recipes/profiler.py recipes_source/recipes_index.rst  
1fa08cbb0,Brian Johnson,2020-12-02,Adds gh link to mnist dataset (#1264),1,1,1,beginner_source/nn_tutorial.py  
33dc820d0,Brian Johnson,2020-12-02,Add mnist file for nn_tutorial,1,0,0,_static/mnist.pkl.gz  
d49ce5ce4,Brian Johnson,2020-12-01,Update requirements.txt (#1260),1,1,1,requirements.txt  
45e4f2a1c,Jeff Tang,2020-11-20,fixed repo links (#1248),2,4,4,beginner_source/deeplabv3_on_android.rst beginner_source/deeplabv3_on_ios.rst  
73b6cd9a9,Brian Johnson,2020-11-17,Update README.md (#1245),1,7,,README.md  
9ecc44a60,Gao Xiang,2020-11-16,Fix TF32 convergence issue with TF32 (#1244),2,18,2,beginner_source/examples_autograd/two_layer_net_autograd.py beginner_source/examples_autograd/two_layer_net_custom_function.py  
e6167a9e5,Brian Johnson,2020-11-13,Update speech_command_recognition_with_torchaudio.py (#1239),1,1,1,intermediate_source/speech_command_recognition_with_torchaudio.py  
0f6b204f1,Kaszanas,2020-11-13,Fixed link to docs in audio_preprocessing_tutorial (#1234),1,1,1,beginner_source/audio_preprocessing_tutorial.py  
7bd031519,Brian Johnson,2020-11-12,Update index.rst (#1232),1,1,,index.rst  
65778b9f3,Jeff Tang,2020-11-11,iOS and Android image segmentation tutorials; minor recipes code and typo fix for 1.7 (#1213),10,496,19,_static/img/deeplabv3_android.png _static/img/deeplabv3_android2.png _static/img/deeplabv3_ios.png _static/img/deeplabv3_ios2.png beginner_source/deeplabv3_on_android.rst beginner_source/deeplabv3_on_ios.rst recipes_source/fuse.rst recipes_source/model_preparation_ios.rst recipes_source/quantization.rst recipes_source/script_optimized.rst  
74b76631c,David Reiss,2020-11-11,Add NNAPI tutorial (#1229),1,185,,prototype_source/nnapi_mobilenetv2.rst  
0f29eeb2d,guyang3532,2020-11-10,Add windows CI test for tutorials and parallelize with 4 workers (#1148),2,115,18,.circleci/config.yml .circleci/scripts/build_for_windows.sh  
12cecd116,Brian Johnson,2020-11-06,Update index.rst (#1221),2,8,,_static/img/thumbnails/cropped/torchaudio-speech.png index.rst  
7e1cee8f5,Vincent QB,2020-11-06,Add new speech command recognition tutorial (#1204),1,543,,intermediate_source/speech_command_recognition_with_torchaudio.py  
9a4d70270,Tao Xu,2020-11-05,[Mobile GPU] Fix typos (#1220),2,9,8,prototype_source/ios_gpu_workflow.rst prototype_source/vulkan_workflow.rst  
58dd3cd79,Pat Mellon,2020-11-04,Update analytics (#1217),1,11,21,_templates/layout.html  
603773e1d,dependabot[bot],2020-11-04,Bump pillow from 4.1.1 to 7.1.0 (#1218),1,1,1,requirements.txt  
89acae0ac,Jeff Tang,2020-11-04,added code copy button (#1216),2,3,2,conf.py requirements.txt  
488a2ebc4,Sreerag M,2020-10-29,Fixed typo (#1127),1,1,1,intermediate_source/torchvision_tutorial.rst  
9d536966a,albanD,2020-10-27,Update chatbot_tutorial.py (#1212),1,2,1,beginner_source/chatbot_tutorial.py  
e5f60c643,albanD,2020-10-27,Remove views when not necessary (#1211),3,3,3,advanced_source/dynamic_quantization_tutorial.py beginner_source/transformer_tutorial.py prototype_source/graph_mode_static_quantization_tutorial.py  
1c1f40d5f,albanD,2020-10-27,Update static_quantization_tutorial.py (#1210),1,1,1,advanced_source/static_quantization_tutorial.py  
40f802750,Guanheng George Zhang,2020-10-27,Update transformer tutorial (#1197),1,11,11,beginner_source/transformer_tutorial.py  
8eb4e3da4,gunandrose4u,2020-10-27,Update ddp_tutorial to work on Windows platform (#1182),1,22,5,intermediate_source/ddp_tutorial.rst  
5c7e38b69,Himangshu Lahkar,2020-10-27,CPP Transformer Tutorial (#1192),3,360,,advanced_source/transformer__timeseries_cpp_tutorial/CMakeLists.txt advanced_source/transformer__timeseries_cpp_tutorial/scheduler.h advanced_source/transformer__timeseries_cpp_tutorial/transformer_timeseries.cpp  
84bf3e32e,Brian Johnson,2020-10-26,1.7 release (#1206),8,869,1,prototype_source/ios_gpu_workflow.rst recipes_source/fuse.rst recipes_source/model_preparation_android.rst recipes_source/model_preparation_ios.rst recipes_source/ptmobile_recipes_summary.rst recipes_source/quantization.rst recipes_source/recipes_index.rst recipes_source/script_optimized.rst  
41f58c154,Richard Zou,2020-10-26,Add recipe for prototype vmap (#1209),1,121,,prototype_source/vmap_recipe.py  
a299e79e4,Ivan Kobzarev,2020-10-26,[tutorial][vulkan] Vulkan user workflow tutorial (#1187),2,247,,prototype_source/README.txt prototype_source/vulkan_workflow.rst  
33d9583dc,Brian Johnson,2020-10-23,Update audio_preprocessing_tutorial.py (#1202),1,2,,beginner_source/audio_preprocessing_tutorial.py  
e96ab7839,Vincent QB,2020-10-23,Update beginner_source/audio_preprocessing_tutorial.py (#1199),1,13,5,beginner_source/audio_preprocessing_tutorial.py  
ded4e8d1d,Pat Mellon,2020-10-22,Update event tracking (#1188),1,5,,_templates/layout.html  
2751bf30d,Brian Johnson,2020-10-09,Removes Outdated Trainer Tutorial (#1181),2,699,,beginner_source/aws_distributed_training_tutorial.py index.rst  
50555db77,Yuxin Wu,2020-10-02,Update saving_loading_models.py (#1173),1,2,1,beginner_source/saving_loading_models.py  
3423f67c4,Jeff Tang,2020-09-29,minor typo fixes (#1160),1,3,3,recipes_source/mobile_perf.rst  
bd1dfa397,Basil Hosmer,2020-09-28,retitle dispatcher tutorial (#1168),1,2,2,advanced_source/dispatcher.rst  
3208184cf,supriyar,2020-09-25,Update dynamic quant tutorial for saving quantized model (#1167),1,14,6,intermediate_source/dynamic_quantization_bert_tutorial.rst  
6973eb2e8,Pritam Damania,2020-09-24,Update tutorials to use TensorPipeRpcBackendOptions. (#1164),2,3,3,advanced_source/rpc_ddp_tutorial/main.py intermediate_source/dist_pipeline_parallel_tutorial.rst  
258f422fd,Jinlin Zhang,2020-09-24,A fix for one line comment when removing runnable code. (#1165),1,8,,.jenkins/remove_runnable_code.py  
96d42011d,Szymon Migacz,2020-09-21,Add Performance Tuning guide recipe (#1161),2,380,,recipes_source/recipes/tuning_guide.py recipes_source/recipes_index.rst  
468124c8d,Pritam Damania,2020-09-21,Update dist_overview with additional information. (#1155),1,10,,beginner_source/dist_overview.rst  
f1e682ea9,Peter Whidden,2020-09-21,"Fix typo asynchronizely"" -> ""asynchronously"" (#1154)""",1,1,1,intermediate_source/model_parallel_tutorial.py  
cba6b8505,Brian Johnson,2020-09-17,Dist rpc merge (#1158),3,321,,_static/img/thumbnails/cropped/profile.png recipes_source/distributed_rpc_profiling.rst recipes_source/recipes_index.rst  
ba6070e0b,Thiago Crepaldi,2020-09-15,Fix model to be properly exported to ONNX (#1144),1,2,2,beginner_source/transformer_tutorial.py  
fe33b549f,mcarilli,2020-09-15,Python recipe for automatic mixed precision (#1137),5,363,,_static/img/thumbnails/cropped/amp.png advanced_source/dispatcher.rst recipes_source/recipes/README.txt recipes_source/recipes/amp_recipe.py recipes_source/recipes_index.rst  
ee5e4483a,J. Randall Hunt,2020-09-09,Install torch not torch vision (#1153),1,1,1,recipes_source/recipes/defining_a_neural_network.py  
4a7010175,Vijay Viswanathan,2020-09-01,"Fix typo in Introduction to Pytorch"" tutorial (in NLP tutorial) (#1145)""",1,1,1,beginner_source/nlp/pytorch_tutorial.py  
ae17b15e3,krfricke,2020-08-31,Added Ray Tune Hyperparameter Tuning Tutorial (#1066),4,471,,_static/img/ray-tune.png beginner_source/hyperparameter_tuning_tutorial.py index.rst requirements.txt  
3191c0cbb,Alan deLevie,2020-08-28,LSTM's -> LSTMs in equence_models_tutorial.py docs (#1136),1,1,1,beginner_source/nlp/sequence_models_tutorial.py  
e60c6af16,Brian Johnson,2020-08-28,Update index.rst,1,1,1,index.rst  
1707a9022,Brian Johnson,2020-08-28,Update index.rst (#1140),1,1,1,index.rst  
4bfe3380a,Nikita Shulga,2020-08-28,Disable `pytorch_windows_builder_worker` config (#1143),1,7,7,.circleci/config.yml  
770abb205,Nikita Shulga,2020-08-27,Run win_test_worker manually (#1142),1,1,,.circleci/config.yml  
b458ced83,장보우 Bowoo Jang,2020-08-28,Fix typo & Minor changes (#1138),1,4,4,recipes_source/recipes_index.rst  
6ab3a3771,Sayantan Das,2020-08-26,Corrected model.resnet50() spelling (#1139),1,2,2,intermediate_source/model_parallel_tutorial.py  
de2571faa,mcarilli,2020-08-20,Update autocast in dispatcher tutorial (#1128),1,61,24,advanced_source/dispatcher.rst  
fdbe99c17,guyang3532,2020-08-20,fix bugs for data_loading_tutorial and dcgan_faces_tutorial (#1092),2,2,2,beginner_source/data_loading_tutorial.py beginner_source/dcgan_faces_tutorial.py  
c61e49c76,guyang3532,2020-08-20,Recover the attributes of torch in memory_format_tutorial (#1112),1,10,,intermediate_source/memory_format_tutorial.py  
fa7cff744,Nikita Shulga,2020-08-12,Fix typo (#1118),1,1,1,recipes_source/recipes/what_is_state_dict.py  
78e91c54d,robz,2020-08-10,Fix typo in defining_a_neural_network.py (#1115),1,1,1,recipes_source/recipes/defining_a_neural_network.py  
df09dc895,Jessica Lin,2020-08-07,"Add tag for Combining Distributed DataParallel with Distributed RPC Framework"" tutorial""",1,1,,index.rst  
507a47399,Brian Johnson,2020-08-05,Brianjo hash fix (#1107),2,3,3,.jenkins/build.sh requirements.txt  
eb01560ea,guyang3532,2020-08-05,Disable memory_format_tutorial on Windows CI (#1105),1,1,3,.circleci/scripts/build_for_windows.sh  
cca97f011,guyang3532,2020-08-04,Add windows ci build (#1049) (#1102),4,114,,.circleci/config.yml .circleci/scripts/build_for_windows.sh .circleci/scripts/install_conda.bat .circleci/scripts/windows_cuda_install.sh  
bc9cac0a7,Brian Johnson,2020-07-31,"Revert Add windows ci build (#1049)"" (#1094)""",4,112,,.circleci/config.yml .circleci/scripts/build_for_windows.sh .circleci/scripts/install_conda.bat .circleci/scripts/windows_cuda_install.sh  
b97599af0,guyang3532,2020-07-30,Add windows ci build (#1049),4,112,,.circleci/config.yml .circleci/scripts/build_for_windows.sh .circleci/scripts/install_conda.bat .circleci/scripts/windows_cuda_install.sh  
0beaf014d,Jessica Lin,2020-07-28,Add prototype tutorials,1,12,,prototype_source/README.txt  
703c478bb,Jerry Zhang,2020-07-28,Add graph mode static quantization tutorial (#1070),3,472,,Makefile prototype_source/README.txt prototype_source/graph_mode_static_quantization_tutorial.py  
b6c28ef63,hx89,2020-07-28,Add Numeric Suite Tutorial to prototype (#1064),8,424,4,_static/img/compare_output.png _static/img/compare_stub.png _static/img/shadow.png advanced_source/torch_script_custom_classes.rst advanced_source/torch_script_custom_classes/custom_class_project/class.cpp prototype_source/README.md prototype_source/numeric_suite_tutorial.py recipes_source/recipes_index.rst  
